taxa	Rep	Phenols	Tannin	X_3Deoxy	Common_name
PI533980	1	2.012	2.105	19.387	SAP-275
PI598069	1	9.437	15.334	13.012	RTx2909
PI659753	1	0.572	-9.67	30.896	IS 5590C
PI656063	1	5.669	10.312	12.984	BQL41
PI656095	1	5.471	4.887	13.9	SC 373
PI656069	2	-0.336	-12.884	29.496	SC 326-6
PI655989	2	3.519	3.416	2.376	REDBINE-60
PI576390	1	5.683	6.629	15.076	Kharuth Waragel
PI656107	1	8.745	20.544	-8.453	SC 702
PI597951	2	3.709	4.895	23.44	SAP-264
PI595714	1	7.021	9.65	21.967	SAP-139
PI533830	1	10.511	17.796	57.067	Culum Brick
PI597964	1	7.271	15.703	34.855	SAP-166
PI656029	1	4.001	5.347	18.699	BTx642
PI533882	1	1.439	5.97	36.818	KO 61 Baragwan Doki
PI534157	1	0.653	-5.54	2.21	"R4, B1"
PI656001	1	2.383	-3.605	13.469	TX2783
PI595744	2	1.758	-1.948	36.539	SAP-157
PI533924	1	8.878	16.953	19.243	"R3,121"
PI534021	1	1.509	-4.452	-0.006	Jola Nandyal
PI533807	1	6.952	11.446	11.176	SAP-206
PI656023	1	1.682	-9.42	16.766	Segaolane
PI655973	1	7.135	11.619	10.573	SPUR FETERITA
PI576373	1	4.404	1.572	19.319	SAP-325
PI576385	1	3.433	2.101	42.65	SAP-135
PI534132	1	4.151	5.937	27.502	"No. 59 Bekedjie, Kembolcha Ethiopia"
PI533912	1	11.667	27.573	26.019	Mendo
PI533962	1	8.597	11.77	25.237	Malwal Aweil
PI656096	1	4.067	2.387	45.805	SC 391
PI656055	2	0.088	-4.376	6.909	P-721
PI24969	1	2.962	-2.787	16.139	DWARF YELLOW MILO
PI329435	1	4	0.463	-3.364	Mashila
PI561071	2	4.928	1.685	30.965	RTx436
PI595720	2	1.998	5.261	1.116	SAP-149
PI659753	2	2.047	-11.273	24.665	IS 5590C
PI656042	1	2.21	3.513	21.563	NSA440 - KARPER
PI656106	1	10.056	20.469	10.833	SC 695
PI533789	1	6.383	16.062	-33.436	Kodilib
PI656111	1	-1.85	-13.314	-11.04	SC 971
PI659696	2	14.183	29.47	8.666	SC 720
PI656098	1	5.34	11.604	3.535	SC 49
PI656082	1	18.402	30.13	33.133	SC 145
PI642791	1	7.189	14.675	61.402	BTx640
PI656019	1	3.285	1.981	10.861	BTx3042
PI656004	1	4.901	10.925	1.001	RTX435
PI585291	1	5.636	8.073	10.875	Tx2903
PI533921	1	2.393	-13.844	14.793	"R1,38"
PI656028	1	0.616	-11.42	-28.809	Town
PI656083	1	4.088	2.262	9.993	SC 1451
PI656003	1	14.054	27.279	-0.462	B AZ9504
PI629040	2	3.33	-3.511	23.187	Tx2917
PI533752	1	13.465	20.379	36.081	54.K.94(Witchweed res.)
PI533757	1	3.806	0.566	2.809	Monshal
PI534137	1	5.522	10.144	10.506	Budy
PI576386	2	8.625	12.522	13.345	SAP-347
PI613536	1	3.36	-0.838	24.322	KS 115
PI656071	1	9.2	13.174	43.426	SC 1019
PI533967	1	2.208	-2.929	-0.507	SB-283
PI533878	2	0.347	-6.115	32.85	KA 21 Gajerar Kaura
PI561072	1	2.252	-1.027	9.358	A/BTxARG-1
PI613536	2	1.937	3.902	7.2	KS 115
PI533842	2	0.737	-6.964	-8.583	Nandyal
PI659694	1	3.136	2.249	-0.052	Tortillerio
PI655981	2	5.537	7.167	2.297	SAP-50
PI565121	2	1.962	3.45	10.537	MACIA
PI655983	1	16.46	29.55	11.876	SUGAR DRIP
PI534127	1	7.74	5.478	-17.792	"No. 37 Ubi, Abelti Ethiopia"
PI533903	1	7.202	8.67	2.443	No. 35 Mab
PI552856	1	1.73	-5.605	-6.893	A/BTx626
PI656020	2	5.592	3.269	31.997	BTx406
PI576434	2	0.543	1.197	24.002	Ex-Mubi
PI656024	1	3.338	8.588	15.884	SEPON82
PI629034	1	1.825	10.414	21.509	RTx437
PI656080	2	2.083	-4.493	-9.72	SC 1429
PI597980	1	6.349	9.651	9.98	SAP-173
PI534037	2	11.204	25.093	4.203	6428 Sian
PI656035	2	5.772	8.609	15.654	El Mota
PI533776	2	5.687	11.923	30.052	KA 3
PI656021	2	2.833	-4.76	13.297	44M
PI576381	1	1.813	-1.294	3.062	Mashica
PI655992	1	1.362	2.007	7.498	TX 3197 (COMB KAFIR 60) B LINE
PI656102	1	12.899	29.758	36.143	SC 59
PI533921	2	-0.272	-21.846	3.929	"R1,38"
PI656074	2	7.783	11.425	13.988	SC 1218
PI534092	2	4.97	9.104	9.456	ZA 71
PI576347	2	6.775	7.859	10.021	SAP-342
PI576435	2	2.468	0.9	5.477	Lula
