taxa	Rep	Phenols	Tannins	X_3Deoxy	Common_name
PI534128	1	3.098	0	41.84	"No. 65 Amelsie, Kimbolcha Ethiopia"
PI576434	2	1.684	0	8.691	Ex-Mubi
PI656113	2	2.525	0	0	SC 1277
PI656099	1	0	0	11.394	SC 498
PI329440	1	0.244	0	22.142	Mashila
PI656034	1	2.858	0	25.79	Dorado
NA	NA	11.155	13.452	0	NA
PI656034	2	2.986	2.304	15.087	Dorado
PI533871	1	1.734	0	31.762	M 1
PI533856	2	1.759	0	46.906	Jola Nandyal
PI533758	1	12.372	20.644	12.926	IS 18684
PI656015	1	10.417	22.067	24.925	Ajabsido
PI656049	1	3.619	3.332	8.091	Marupantse
PI656121	1	12.403	27.242	41.618	SC 947
PI533788	1	10.878	16.32	60.406	SAP-263
PI656104	1	9.688	5.257	46.57	SC 621
PI576339	2	4.555	7.317	16.197	SAP-312
PI656098	2	5.037	5.204	0	SC 49
PI533997	2	3.44	0	14.603	MN 1592 (preconverted)
PI595744	2	1.837	0	17.56	SAP-157
PI656006	1	1.533	0	12.91	88V1080
PI656076	1	0	0	26.697	SC 1271
PI629034	1	2.32	0.11	33.491	RTx437
PI656093	1	4.178	3.368	12.255	SC 295
PI656008	1	2.462	0	0	RCV
PI656055	1	1.857	0	25.071	P-721
PI655991	1	5.057	2.733	21.183	TX 378 (REDLAN) B LINE
PI534132	1	2.431	0	41.899	"No. 59 Bekedjie, Kembolcha Ethiopia"
PI656007	1	3.717	5.917	29.463	R9188
PI585295	2	4.634	8.911	51.413	Tx2907
PI533939	1	11.845	18.81	75.299	AS 4055 N Kambwa
PI656035	1	5.964	6.955	12.618	El Mota
PI561072	1	0.438	0	28.017	A/BTxARG-1
PI533986	2	9.641	18.022	0	Huria White 621
PI561073	1	3.82	0	140.447	A/BTx635
PI656105	1	9.42	14.61	6.611	SC 639
PI656070	1	1.857	0	2.262	SC 748-5
PI533949	1	6.829	7.585	8.741	Maja Abiad Q2/2/68
PI576422	2	2.774	1.627	8.854	SAP-141
PI597946	1	7.767	11.548	0	SAP-286
PI576130	1	2.374	0	14.957	ICSV 745
PI656052	1	2.991	0.496	6.534	N250B
PI533962	2	11.828	13.417	25.589	Malwal Aweil
PI533965	2	18.06	29.899	26.464	SAP-148
PI534101	1	7.571	15.401	6.579	A-106
PI533937	2	2.09	0	28.929	AS 4136 Masaka Luwemba
PI533831	2	3.919	3.216	23.629	Deburr
PI655976	2	4.238	0	17.671	RED KAFIR
PI656075	2	1.115	0	0.981	SC 1251
PI533938	2	20.472	35.441	39.968	AS 5826 Holcus
PI533910	1	6.144	8.959	25.983	Klor
PI533755	2	8.635	10.96	27.624	Feterita Gondal
PI576435	2	3.635	2.183	4.253	Lula
PI629040	2	0.901	0	30.769	Tx2917
PI656095	2	2.888	0	58.888	SC 373
PI656011	1	2.219	0	8.106	90EON328
PI576373	1	8.481	10.54	16.473	SAP-325
PI656012	1	0.819	0	22.465	90M
PI655971	1	3.855	2.934	31.209	STANDARD WHITE MILO
PI641836	2	15.167	28.695	2.842	ROX ORANGE
PI656059	2	1.084	0	2.12	Pinolero 1
PI595720	1	1.4	0.396	31.333	SAP-149
PI656096	1	3.818	1.659	34.149	SC 391
PI629059	1	2.944	0	4.48	B.Tx2928
PI533754	2	6.042	1.478	0	SAP-219
PI533878	1	0.911	0	47.731	KA 21 Gajerar Kaura
PI656041	1	1.327	0	54.531	80M
PI576393	2	20.851	41.91	34.617	MN 708 (preconverted)
PI533961	1	9.385	17.627	6.748	Wit Lichtenburg DL/59/1530
PI534088	1	1.263	0	44.676	ZA 6
PI597965	1	12.226	17.74	12.65	SAP-395
PI597945	1	9.124	6.461	40.516	SAP-336
PI534124	2	15.204	13.636	23.445	"No. 28 Lyle, Marawa Ethiopia"
PI595739	2	2.377	0	10.222	SAP-131
PI534127	1	21.88	23.049	100.664	"No. 37 Ubi, Abelti Ethiopia"
PI576332	2	13.684	16.382	9.61	SAP-287
PI576364	2	18.646	30.911	2.761	Chari Uri
PI659696	1	15.324	31.287	4.428	SC 720
PI656022	1	2.976	2.762	8.306	BTx615
PI656031	1	0.72	0	18.411	CE151-262-A1
PI564163	2	3.218	2.908	9.501	BTx623
PI597964	1	7.37	0.645	16.728	SAP-166
PI597980	1	7.797	11.552	16.39	SAP-173
PI656026	2	1.043	0	43.124	SOBERANO
PI533855	1	2.828	0	42.977	Chanan Singoo
PI533758	2	14.993	28.842	19.191	IS 18684
PI533964	2	0.854	0	15.457	"Safara, Kordafan"
PI656082	2	18.795	17.828	61.044	SC 145
PI656114	1	1.32	0	22.691	SC 134
PI656118	2	11.633	15.377	13.027	SC 332
PI656071	1	12.152	17.329	58.413	SC 1019
PI656092	1	4.08	0	83.423	SC 25
PI533967	1	0.149	0	14.859	SB-283
NA	NA	43.834	91.464	161.448	NA
PI656005	2	4.125	0	37.259	01MN1589-B
PI656073	2	10.831	24.438	16.242	SC 1074
PI533788	2	10.585	17.942	67.38	SAP-263
PI534037	1	9.811	17.937	4.759	6428 Sian
PI597952	1	11.674	21.71	22.869	SAP-323
PI576366	1	10.793	17.544	13.941	Jowar Red Jankinagar
PI533921	1	1.646	0	65.057	"R1,38"
PI656047	1	1.396	0	29.331	M35-1
PI656068	2	1.435	0	21.563	SC 170-6-17
NA	NA	1.323	0	32.249	NA
PI641824	1	13.053	15.565	0.314	KANSAS ORANGE
PI656074	1	7.11	9.767	23.486	SC 1218
PI656107	1	10.604	22.968	6.435	SC 702
NA	NA	3.823	3.086	20.406	NA
PI656086	1	11.393	21.648	30.361	SC 1471
PI656109	1	19.865	40.852	59.98	SC 85
PI534079	2	6.619	6.477	32.655	PL 47
PI656046	1	13.379	24.677	2.054	LianTang Ai
PI656077	1	3.209	0	18.477	SC 1416
PI561071	1	1.465	0.238	37.043	RTx436
NA	NA	2.341	0.868	35.664	NA
PI655995	1	45.137	108.831	102.429	DEER
PI656013	2	12.166	22.734	28.377	94Q63
PI533761	1	8.737	13.26	39.772	SAP-230
PI655991	2	4.748	2.731	18.97	TX 378 (REDLAN) B LINE
PI534075	2	2.333	0	19.499	KA 24
PI659691	1	2.769	0	44.628	COMBINE HEGARI
PI655979	1	1.594	0	10.794	Tx2741
PI534075	1	0	0	56.767	KA 24
PI656083	1	6.611	0.157	19.473	SC 1451
PI533989	2	2.812	0.149	9.342	Nyithin
PI576376	2	4.976	2.821	38.236	SAP-125
PI656069	2	2.562	0	75.239	SC 326-6
PI655982	1	1.9	0	31.568	SAP-380
PI655989	1	3.214	0	6.292	REDBINE-60
PI533972	1	10.988	17.268	16.008	Dobbs
PI533766	2	4.966	5.307	11.555	No. 4 Hadoui
PI576418	1	3.188	0	61.987	SAP-147
PI534053	1	8.436	12.887	38.074	T 28
PI656102	1	11.667	19.211	29.765	SC 59
PI613536	2	0.292	0	40.356	KS 115
PI576375	1	0.894	0	28.761	SAP-124
PI595739	1	2.004	0	4.169	SAP-131
PI533830	2	9.571	7.107	47.86	Culum Brick
PI656105	2	10.541	12.954	5.149	SC 639
PI656106	1	12.677	22.752	4.105	SC 695
PI533961	2	9.579	12.617	13.876	Wit Lichtenburg DL/59/1530
PI656116	1	8.684	11.401	6.014	SC 1506
PI656010	2	2.911	0	18.721	RTx2536
PI534112	1	8.229	13.899	21.827	EC 21463 STR 5/1
PI656119	1	0.818	0	32.773	SC 386
PI576347	1	15.636	30.293	51.526	SAP-342
PI656014	2	31.272	69.183	111.232	Acme Broomcorn
PI534105	2	9.548	17.209	0	EC 21361 G30
PI656078	2	2.746	0	13.138	SC 1424
PI576401	1	3.217	0	16.765	"Mehra, Sonthia"
PI533919	2	11.344	13.977	0	"R1,4"
PI533799	2	0	0	62.396	SAP-404
PI656102	2	12.205	23.54	32.259	SC 59
PI534117	1	13.032	5.095	41.116	Mashica
PI533769	2	6.276	6.479	20.017	290 Feterita Shendi 2
PI656037	2	1.991	0	10.344	ICSV 401
PI576396	1	10.729	13.282	0	SAP-225
PI656107	1	11.401	25.844	1.761	SC 702
PI655994	1	15.172	28.793	28.588	WILEY
PI576435	1	2.134	0	7.045	Lula
PI534092	1	2.36	2.606	45.712	ZA 71
PI655975	1	4.829	1.542	32.172	WHEATLAND
PI656012	2	2.381	0	47.866	90M
PI533901	2	28.069	59.828	72.952	A-96
PI576373	2	7.94	8.076	28.56	SAP-325
PI576352	1	3.911	5.267	24.868	Marupantse
PI534135	2	1.922	0	29.69	No. 64 Netch Addesho Ethiopia
PI566819	2	17.751	20.43	51.514	DELLA
PI597957	1	0.751	0	34.89	SAP-151
PI656042	1	7.283	6.614	64.126	NSA440 - KARPER
PI534144	1	29.017	58.141	73.512	Kabutuwa
PI533976	2	9.842	2.917	61.124	Framiola DL/59/1539
PI655971	2	2.009	0	48.772	STANDARD WHITE MILO
PI534070	2	1.946	0	11.357	BE 25
PI534155	1	15.394	25.506	56.461	"R3, 80"
PI641849	1	22.3	39.789	95.98	WACONIA
PI597972	1	13.162	22.42	71.033	SAP-398
PI651496	1	7.639	10.307	7.824	RIO
PI656086	2	12.83	19.275	59.018	SC 1471
PI576387	2	4.939	1.536	24.262	Awanlek
PI656004	1	7.041	12.668	52.898	RTX435
PI585291	2	2.852	0	72.864	Tx2903
PI656035	2	4.976	5.46	16.861	El Mota
PI659696	2	15.611	27.888	4.068	SC 720
PI574455	2	3.534	0.294	41.605	BTx638
NA	NA	12.533	20.276	43.131	NA
PI656079	2	2.427	0	30.418	NA
PI642791	2	5.965	0	70.833	BTx640
PI655988	2	3.962	0	21.257	COMBINE KAFIR-60
PI598070	1	4.166	0	15.61	RTx2910
PI534155	2	14.33	21.562	51.313	"R3, 80"
PI533962	1	10.251	11.673	14.859	Malwal Aweil
PI534163	2	7.678	15.21	20.5	Rexx
PI656024	1	2.063	0	18.836	SEPON82
PI534009	1	6.19	0	8.952	Yerra Jonna Goda
PI656093	2	5.477	3.254	14.807	SC 295
PI533985	2	6.111	6.662	0	Barking 119
PI533800	2	9.714	4.335	34.565	IS 12666C
PI597968	2	9.157	17.611	0	SAP-168
PI656060	2	0	0	15.605	QL3-TEXAS
PI576380	2	0.669	0	27.402	Mashica
PI534105	1	8.917	15.992	3.192	EC 21361 G30
PI656020	1	2.969	0	43.757	BTx406
PI533792	1	0.412	0	48.569	No. 1 Gambela
PI656036	1	3.279	0	28.598	ICSV 1089BF
PI653617	2	12.367	12.307	1.551	KELLER
PI656044	1	0.923	0	26.466	Kuyuma
PI597945	2	7.187	0	68.683	SAP-336
PI656111	1	1.087	0	62.579	SC 971
PI656109	2	16.696	26.859	69.919	SC 85
PI656007	2	3.457	2.8	37.108	R9188
PI656023	1	1.776	0	22.512	Segaolane
PI152651	1	3.533	0.45	17.603	Feterita Geshaish
